code,desc,desc_normalized,tier1,tier2,n
S29.9,Trauma: Other Injury- Chest,Trauma: Other Injury- Chest,Trauma - Blunt/Other,Blunt/Other Injury,144
S59.91,Trauma: Other Injury- Forearm,Trauma: Other Injury- Forearm,Trauma - Blunt/Other,Blunt/Other Injury,133
S29.002,Trauma: Other Injury- Upper Back,Trauma: Other Injury- Upper Back,Trauma - Blunt/Other,Blunt/Other Injury,130
S39.91,Trauma: Abdominal Injury,Trauma: Abdominal Injury,Trauma - Blunt/Other,Blunt/Other Injury,119
S05.9,Trauma: Eye Injury,Trauma: Eye Injury,Trauma - Blunt/Other,Blunt/Other Injury,118
S05,Trauma: Other Injury- Eye and Orbit,Trauma: Other Injury- Eye and Orbit,Trauma - Blunt/Other,Blunt/Other Injury,99
S09.92,Trauma: Other Injury- Nose,Trauma: Other Injury- Nose,Trauma - Blunt/Other,Blunt/Other Injury,94
S80.91,Other Injury - Knee,Other Injury - Knee,Trauma - Blunt/Other,Blunt/Other Injury,83
S39.93,Trauma: Pelvic Injury,Trauma: Pelvic Injury,Trauma - Blunt/Other,Blunt/Other Injury,73
S39.91,Trauma: Other Injury- Abdomen,Trauma: Other Injury- Abdomen,Trauma - Blunt/Other,Blunt/Other Injury,72
S39.94,Trauma: Genitalia Injury,Trauma: Genitalia Injury,Trauma - Blunt/Other,Blunt/Other Injury,57
S59.90,Trauma: Other Injury- Elbow,Trauma: Other Injury- Elbow,Trauma - Blunt/Other,Blunt/Other Injury,49
S09.91,Trauma: Ear Injury,Trauma: Ear Injury,Trauma - Blunt/Other,Blunt/Other Injury,45
S39.94,Trauma: Other Injury- Genitalia,Trauma: Other Injury- Genitalia,Trauma - Blunt/Other,Blunt/Other Injury,44
S09.91,Trauma: Other Injury- Ear,Trauma: Other Injury- Ear,Trauma - Blunt/Other,Blunt/Other Injury,34
S00.501,Trauma: Other Injury- Lip,Trauma: Other Injury- Lip,Trauma - Blunt/Other,Blunt/Other Injury,25
S39.93,Trauma: Other Injury- Pelvis,Trauma: Other Injury- Pelvis,Trauma - Blunt/Other,Blunt/Other Injury,24
S00.502,Trauma: Other Injury- Oral Cavity,Trauma: Other Injury- Oral Cavity,Trauma - Blunt/Other,Blunt/Other Injury,4
S59.9,Unspecified injury of elbow and forearm,Unspecified injury of elbow and forearm,Trauma - Blunt/Other,Blunt/Other Injury,1
S43.00,Trauma: Dislocation- Shoulder,Trauma: Dislocation- Shoulder,Trauma - Blunt/Other,Dislocation,78
S73.00,Trauma: Dislocation- Hip,Trauma: Dislocation- Hip,Trauma - Blunt/Other,Dislocation,67
S99.91,Trauma: Dislocation- Ankle,Trauma: Dislocation- Ankle,Trauma - Blunt/Other,Dislocation,39
S83.00,Trauma: Dislocation- Knee,Trauma: Dislocation- Knee,Trauma - Blunt/Other,Dislocation,33
S53,Trauma: Dislocation- Elbow,Trauma: Dislocation- Elbow,Trauma - Blunt/Other,Dislocation,19
S63.006A,Trauma: Dislocation- Wrist,Trauma: Dislocation- Wrist,Trauma - Blunt/Other,Dislocation,11
S62.90,Trauma: Fracture- Wrist and/or Hand,Trauma: Fracture- Wrist and/or Hand,Trauma - Blunt/Other,Fracture,68
S99.81,Trauma: Fracture- Ankle,Trauma: Fracture- Ankle,Trauma - Blunt/Other,Fracture,63
S82.90,Trauma: Fracture- Lower Leg,Trauma: Fracture- Lower Leg,Trauma - Blunt/Other,Fracture,57
S72.009,Trauma: Fracture- Hip,Trauma: Fracture- Hip,Trauma - Blunt/Other,Fracture,55
S52.90,Trauma: Fracture- Forearm,Trauma: Fracture- Forearm,Trauma - Blunt/Other,Fracture,32
S42.302,Trauma: Fracture- Upper Arm,Trauma: Fracture- Upper Arm,Trauma - Blunt/Other,Fracture,31
S72.90,Trauma: Fracture- Femur,Trauma: Fracture- Femur,Trauma - Blunt/Other,Fracture,29
S92.81,Trauma: Fracture- Foot,Trauma: Fracture- Foot,Trauma - Blunt/Other,Fracture,22
S42.90,Trauma: Fracture- Shoulder,Trauma: Fracture- Shoulder,Trauma - Blunt/Other,Fracture,21
S42.409,Trauma: Fracture- Elbow,Trauma: Fracture- Elbow,Trauma - Blunt/Other,Fracture,11
S82.00,Trauma: Fracture- Knee,Trauma: Fracture- Knee,Trauma - Blunt/Other,Fracture,11
S02.80,Trauma: Fracture- Skull/Facial,Trauma: Fracture- Skull/Facial,Trauma - Blunt/Other,Fracture,10
S09.90,Trauma: Head Injury,Trauma: Head Injury,Trauma - Blunt/Other,Head Injury,1608
S09.90,Trauma: Other Injury- Head,Trauma: Other Injury- Head,Trauma - Blunt/Other,Head Injury,814
S09.12XA,Trauma: Laceration/Open Wound- Head/Face,Trauma: Laceration/Open Wound- Head/Face,Trauma - Blunt/Other,Laceration/Open Wound,638
S51.809,Laceration/Open Wound Lower Arm or Forearm,Laceration/Open Wound Lower Arm or Forearm,Trauma - Blunt/Other,Laceration/Open Wound,188
S65.919,Trauma: Laceration/Open Wound- Wrist and/or Hand,Trauma: Laceration/Open Wound- Wrist and/or Hand,Trauma - Blunt/Other,Laceration/Open Wound,183
S86.929,Trauma: Laceration/Open Wound- Lower Leg,Trauma: Laceration/Open Wound- Lower Leg,Trauma - Blunt/Other,Laceration/Open Wound,93
S91.30,Trauma: Laceration/Open Wound- Foot,Trauma: Laceration/Open Wound- Foot,Trauma - Blunt/Other,Laceration/Open Wound,74
S81.01,Trauma: Laceration/Open Wound- Knee,Trauma: Laceration/Open Wound- Knee,Trauma - Blunt/Other,Laceration/Open Wound,38
S76.829,Trauma: Laceration/Open Wound- Thigh (Upper Leg),Trauma: Laceration/Open Wound- Thigh (Upper Leg),Trauma - Blunt/Other,Laceration/Open Wound,24
S91.00,Trauma: Laceration/Open Wound- Ankle,Trauma: Laceration/Open Wound- Ankle,Trauma - Blunt/Other,Laceration/Open Wound,24
S39.021A,Trauma: Laceration/Open Wound- Abdomen,Trauma: Laceration/Open Wound- Abdomen,Trauma - Blunt/Other,Laceration/Open Wound,18
S01.00XA,Trauma: Laceration/Open Wound- Scalp,Trauma: Laceration/Open Wound- Scalp,Trauma - Blunt/Other,Laceration/Open Wound,12
S16.2XXA,Trauma: Laceration/Open Wound- Neck,Trauma: Laceration/Open Wound- Neck,Trauma - Blunt/Other,Laceration/Open Wound,12
S29.021A,Trauma: Laceration/Open Wound- Chest,Trauma: Laceration/Open Wound- Chest,Trauma - Blunt/Other,Laceration/Open Wound,11
S39.02,Trauma: Laceration/Open Wound- Lower Back and Pelvis,Trauma: Laceration/Open Wound- Lower Back and Pelvis,Trauma - Blunt/Other,Laceration/Open Wound,10
S29.022D,Trauma: Laceration/Open Wound- Upper Back,Trauma: Laceration/Open Wound- Upper Back,Trauma - Blunt/Other,Laceration/Open Wound,6
S76.029A,Trauma: Laceration/Open Wound- Hip,Trauma: Laceration/Open Wound- Hip,Trauma - Blunt/Other,Laceration/Open Wound,6
S46.829A,Trauma: Laceration/Open Wound- Shoulder,Trauma: Laceration/Open Wound- Shoulder,Trauma - Blunt/Other,Laceration/Open Wound,5
S11.01,Trauma: Laceration/Open Wound- Throat,Trauma: Laceration/Open Wound- Throat,Trauma - Blunt/Other,Laceration/Open Wound,2
T07,Trauma: Multiple Injuries,Trauma: Multiple Injuries,Trauma - Blunt/Other,Multisystem Trauma,232
S27.0,Trauma: Pneumothorax,Trauma: Pneumothorax,Trauma - Blunt/Other,Pneumothorax,3
S34.109,Trauma: Other Injury- Spinal Cord Lumbar,Trauma: Other Injury- Spinal Cord Lumbar,Trauma - Blunt/Other,Spinal Cord Injury,8
S14.109,Trauma: Other Injury- Spinal Cord Cervical,Trauma: Other Injury- Spinal Cord Cervical,Trauma - Blunt/Other,Spinal Cord Injury,5
S24.109,Trauma: Other Injury- Spinal Cord Thoracic,Trauma: Other Injury- Spinal Cord Thoracic,Trauma - Blunt/Other,Spinal Cord Injury,2
T79.4,Shock- Traumatic,Shock- Traumatic,Trauma - Blunt/Other,Traumatic Shock,2
T79.4,xShock- Traumatic,Shock- Traumatic,Trauma - Blunt/Other,Traumatic Shock,1
NA,Not Applicable,Not Applicable,Unknown/Not Recorded,Not Applicable/Not Recorded,20
7701001,Not Applicable,Not Applicable,Unknown/Not Recorded,Not Applicable/Not Recorded,5
